[    9643ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/compiled/react-dom/cjs/react-dom-client.development.js:25630
[  341804ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/hot-reloader/app/hot-reloader-app.js:196
[  343380ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/hot-reloader/app/hot-reloader-app.js:196
[  343414ms] [LOG] [Fast Refresh] done in 34ms @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/report-hmr-latency.js:13
[  346031ms] [LOG] [Fast Refresh] done in 2651ms @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/report-hmr-latency.js:13
[  346036ms] [LOG] [HMR] Detected local css modules. Reload all css @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/compiled/mini-css-extract-plugin/hmr/hotModuleReplacement.js:1
[  349871ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/hot-reloader/app/hot-reloader-app.js:196
[  350537ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/hot-reloader/app/hot-reloader-app.js:196
[  350562ms] [LOG] [Fast Refresh] done in 25ms @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/report-hmr-latency.js:13
[  352024ms] [LOG] [Fast Refresh] done in 1488ms @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/report-hmr-latency.js:13
[  352026ms] [LOG] [HMR] Detected local css modules. Reload all css @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/compiled/mini-css-extract-plugin/hmr/hotModuleReplacement.js:1
[  355313ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/layout.css?1780342468856 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  355313ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342468855 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  355313ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/page.css?1780342468856 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  359405ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/hot-reloader/app/hot-reloader-app.js:196
[  360052ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/hot-reloader/app/hot-reloader-app.js:196
[  360080ms] [LOG] [Fast Refresh] done in 29ms @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/report-hmr-latency.js:13
[  362018ms] [LOG] [Fast Refresh] done in 1966ms @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/report-hmr-latency.js:13
[  362025ms] [LOG] [HMR] Detected local css modules. Reload all css @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/compiled/mini-css-extract-plugin/hmr/hotModuleReplacement.js:1
[  365524ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/layout.css?1780342468856 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  365524ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342468855 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  365524ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/layout.css?1780342478854 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  365524ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/page.css?1780342478854 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  365524ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/page.css?1780342468856 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  365524ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342478853 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  365524ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342478854 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  377126ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/hot-reloader/app/hot-reloader-app.js:196
[  378804ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/hot-reloader/app/hot-reloader-app.js:196
[  378831ms] [LOG] [Fast Refresh] done in 28ms @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/report-hmr-latency.js:13
[  380161ms] [LOG] [Fast Refresh] done in 1357ms @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/report-hmr-latency.js:13
[  380163ms] [LOG] [HMR] Detected local css modules. Reload all css @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/compiled/mini-css-extract-plugin/hmr/hotModuleReplacement.js:1
[  384094ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342496991 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  384094ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/layout.css?1780342468856 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  384094ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342468855 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  384094ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/layout.css?1780342478854 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  384094ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/page.css?1780342478854 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  384094ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/page.css?1780342468856 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  384094ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342478853 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  384094ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342478854 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  394990ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/hot-reloader/app/hot-reloader-app.js:196
[  396340ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/hot-reloader/app/hot-reloader-app.js:196
[  396368ms] [LOG] [Fast Refresh] done in 28ms @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/report-hmr-latency.js:13
[  398183ms] [LOG] [Fast Refresh] done in 1843ms @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/report-hmr-latency.js:13
[  398191ms] [LOG] [HMR] Detected local css modules. Reload all css @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/compiled/mini-css-extract-plugin/hmr/hotModuleReplacement.js:1
[  402249ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342496991 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  402249ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/layout.css?1780342468856 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  402249ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342468855 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  402249ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/layout.css?1780342515021 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  402249ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342515021 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  402249ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/layout.css?1780342478854 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  402249ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/page.css?1780342478854 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  402249ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/page.css?1780342515021 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  402249ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/page.css?1780342468856 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  402249ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342478853 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  402249ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342478854 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  402249ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342515020 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  407738ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/hot-reloader/app/hot-reloader-app.js:196
[  409455ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/hot-reloader/app/hot-reloader-app.js:196
[  409483ms] [LOG] [Fast Refresh] done in 28ms @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/report-hmr-latency.js:13
[  410966ms] [LOG] [Fast Refresh] done in 1511ms @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/dev/report-hmr-latency.js:13
[  410967ms] [LOG] [HMR] Detected local css modules. Reload all css @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/compiled/mini-css-extract-plugin/hmr/hotModuleReplacement.js:1
[  414506ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342496991 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  414506ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?1780342468855 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
[  414506ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/resagp/layout.css?1780342515021 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/resagp:0
